There are few bugs still in basic math multiplication. Once I see the answers, there are conflicting results. 3*6=18 is correct and in the next table 6*3=18 is wrong. Woah;Negative
,Perfect for teaching beginner students also homeschooling students.;Positive
,Ads come up too often.;Negative
,Doesn't seem to allow a child to learn in sets and wasn't able to find settings to provide a little more time.;Negative
,I think that this game helps me sooo much with all of my facts and it so fun it's a funner way to learn all of your facts it helps me and it will nicely help you to it also helps me so much with my flash cards;Positive
,I loved this. Very good for people who want learn math!!! Congratulations for this app;Positive
,This is for kids, can we have an option in the game with no time limit?;Neutral
,love this app. really makes my kiddos think! easy to use as well;Positive
,Why does it asked what 6x1 or 6xo is, it's very basic and little to no thought has gone into producing a good test, it should challenge the user on slow and wrong answers.;Negative
,Too many ads.;Negative
,Very good app;Positive
,A beautiful game that having math also .I like this game;Positive
,I hate it . It does not let me get it I mean like it does not let me get that app I like it for math but it doesn't let me in;Negative
,HI am not good at math but this help so much;Positive
,nice for kids;Positive
,Kid does the problem right, program marks it as wrong.;Positive
,It was definitely not what I was expecting. I wanted something to help with homework, but this did not. I wanted to take it like an elementary school test, this does not do that.;Negative
,is a game for the baby I have play one turne and I have sleep;Positive
,I have not played it yet, but I think its gonna be a good game.;Positive
,what ever age you are this is for you ..bigger hope and brighter future...;Positive
,I love this app so much if I could I will give you 100;Positive
,My kid in kindergarten and now know multiplication;Neutral
,it wasn't good;Negative
,THINK YOU FOR MAKING THIS GAME I NEED TO PRACKTES MY ÷÷×× THANK YOU ARE ON FIRE;Negative
,it is very important to learn;Positive
,My son likes it!;Positive
,Thanks for this app;Positive
,this is the best web;Positive
,not very good;Negative
,It's stupid;Negative
,It's not so good.;Negative
,very help full;Positive
,it is fun.;Positive
,mean i cant do anying;Negative
,it just helps me I'm doing much much better and it's relaxing I love it.;Positive
,suka sekali....anakku jd semangat belajar berhitung;Neutral
,thank you;Positive
,Pretty kul;Positive
,Aplicativo muito bom!;Neutral
,Good app;Positive
,Wow;Neutral
,Amazing!;Positive
,enjoyed it;Positive
,it nice;Positive
,Why don't you make game for each multiplication number;Neutral
,It is great;Positive
,OKAY;Neutral
,Nice aap;Positive
,Inappropriate adds. My 10 yo doesn't need to see women in rhinestone bikinis.;Negative
,As soon as I downloaded it the app stopped working;Negative
,It's great the kids love it tjet Actually think it's FUN! O.O;Positive
,I love it I only own my 1 times and 2;Positive
,This app is pretty good;Positive
,i love this game;Positive
,This is cool;Positive
,Good;Positive
,I don't know what people are saying I have not seen any innappropriate adds (yet) but it helps!!!!!!!;Positive
,It certainly gives your brain a workout.;Positive
,I love it so much;Positive
,How will i learn if it just puts random numbers;Neutral
,It's awesome when I'm doing multiplication who ever made this I love it you welcome bye;Positive
,Very usefull for child;Positive
,It sucks!;Negative
,I have to study;Negative
,It is it is very educational;Positive
,It's good;Positive
,TERRIBLE, INAPPROPRIATE ADS!!! I would give it 4 stars if it werent for the DATING APP PICTURES! I downloaded this app for my children to use, but had to delete it because of the above.;Negative
I want them to learn how to multiply and divide without seeing cleavage and butts.;Negative
,Hate it so much the apps are in my way i gave ot one star if the apps were not in my way i would give them 2i still hate this math games when i press the right answer it says that i am wrong i hate this app so much i am going to delete it ahaa stress;Negative
,I would be like to give 5 stars if they remove adds which is not suitable for kids.;Negative
,I LOVE THIS APP THERE IS NO ADS THIS APP IS SO CUTE I DONT KNOW WHAT IM SAYING;Positive
,I hate it i have to do my times tables;Negative
,Muito bom, e facil de aprender tabuada, eu achei super legal.;Positive
,Popups prevent child from even completing;Negative
,I LOVE IT and there has nothing to do with dating SHELTON;Positive
,Well I think this math game so fun because I could learn math better.;Positive
,Way too many ads!;Negative
,This app helps with memorization of multiplication facts by number group;Positive
,Great way to learn numbers. My son loves it!;Positive
,I will be happy if you can make more!!!;Positive
,Very good need to go up to 12 time tables;Neutral
,I want more apps related to kids;Neutral
,Too many adds!;Negative
,App for kids that advertises hot single girls???;Neutral
,Its good for uskids;Positive
,I wanted to do mix and i wanted topick my time;Neutral
,Best math game;Positive
,Simple and easy to use;Positive
,Good way to learning;Positive
,Love it so so so much!;Positive
,Horriblydesultory;Negative
,It is easy i thought it was hard;Positive
,Help a lot;Neutral
