update : The reinstall did not solve the license issue. I keep seeing ads even more.. The app is good, but it keeps showing adds although I purchased it. I sent email on this matter, but;Negative
didn't get any response.;Negative
,Ui is screwed up no exit control management Why would i need ad on every other screen if this is to teach kids;Negative
,soooo.... I like this game, eheh, my 4 year old brother plays it. but I suggest y'all change the i because where u have to place the i it looks like a pp.;Neutral
) . I like pps tho. I'm just saying, yhu mind changing it.?;Neutral
,a toddler cannot afford to pay for it and it doesn't allow you to get past certain things without paying for it also adds come across the screen and then your 2 year old is tripping because she can't play the game get it right;Negative
,Very helpful for kids;Positive
,my 2 yr old loves it. the app is ok but i hate the ads that just pop up. it just disturbs the fun and she can't navigate through them;Positive
,literally just downloaded it and my 3 year old son loves it;Positive
,ads- how do you expect a yuung child not to touch the ADs right in the middle of the screen!;Negative
,Nice and easy learning app for kids;Positive
,AWESOME A+ PROFICIENT FUNFUNtime;Positive
,Too many ads!;Negative
,It shows that c for cow...picture of cow with later c...but in main content it is not there;Negative
,too many ads;Negative
,Best for improvement of learning power of kids;Positive
,excellent learning game for kids;Positive
,very nice games for kids;Positive
,my daughter loves it;Positive
,to many adds;Neutral
Wonderful but bad bcz aids;Negative
,Shame on you. Advs for toddler & kids?;Negative
,you cannot exit outof it. do notd download!!!;Negative
,Customer interface was obviously approved by Helen Keller ... Y'all suck at making a app. Don't quit your day job;Negative
,very good like for you;Positive
,Hi wrup she went kindsj;Neutral
,good for children thanks for all;Positive
,it's very good for kids;Positive
,Thanks for this game;Positive
,my kid 3 yr old and dosnt lyk it. so comon.;Neutral
,its too much amazing;Positive
,dby gdmm vh.n;Neutral
,VERY VERY NICE APP;Positive
Gud gaame;Neutral
,great app...;Positive
good app;Positive
,Good;Positive
,awesome;Positive
,Educative;Positive
,very helpful;Positive
,nice;Positive
,good;Positive
,good;Positive
,perfect;Positive
,great;Positive
,Zm. MYH;Neutral
,Very good;Positive
,Great;Positive
,Great educational experience for my 4 years daughter. I like the way she enjoys while learning. Thanks forqan for all your games!;Positive
zabardast yr bht alla game han;Neutral
not working;Negative
,Bull dog;Neutral
,games dounlde;Neutral
,Very educative;Positive
,Very good;Positive
,nice experiance;Positive
,Cool app;Positive
,Good;Positive
,Nice;Positive
,excited;Negative
,Good;Positive
