Very good app;Positive
,it wasn't good;Negative
,suka sekali....anakku jd semangat belajar berhitung;Neutral
,Pretty kul;Positive
,it just helps me I'm doing much much better and it's relaxing I love it.;Positive
,thank you;Positive
,Perfect for teaching beginner students also homeschooling students.;Positive
,There are few bugs still in basic math multiplication. Once I see the answers, there are conflicting results. 3*6=18 is correct and in the next table 6*3=18 is wrong. Woah;Negative
,Ads come up too often.;Negative
,is a game for the baby I have play one turne and I have sleep;Positive
,nice for kids;Positive
,HI am not good at math but this help so much;Positive
,This is for kids, can we have an option in the game with no time limit?;Neutral
,Aplicativo muito bom!;Neutral
,Very good;Positive
,Amazing!;Positive
,it is very important to learn;Positive
,I hate it . It does not let me get it I mean like it does not let me get that app I like it for math but it doesn't let me in;Negative
,enjoyed it;Positive
,not very good;Negative
,kaliyah3;Neutral
,this is the best web app;Positive
,love this app. really makes my kiddos think! easy to use as well;Positive
,it nice;Positive
,mean i cant do anying;Negative
,Why does it asked what 6x1 or 6xo is, it's very basic and little to no thought has gone into producing a good test, it should challenge the user on slow and wrong answers.;Negative
,what ever age you are this is for you ..bigger hope and brighter future...;Positive
,Kid does the problem right, program marks it as wrong.;Positive
,very help full;Positive
,Wow;Neutral
,It's stupid;Negative
,Good;Positive
,I loved this. Very good for people who want learn math!!! Congratulations for this app;Positive
,It was definitely not what I was expecting. I wanted something to help with homework, but this did not. I wanted to take it like an elementary school test, this does not do that.;Negative
,Ok;Neutral
,I love this app so much if I could I will give you 100;Positive
,Yay;Neutral
,Ok;Neutral
,My kid in kindergarten and now know multiplication;Neutral
,THINK YOU FOR MAKING THIS GAME I NEED TO PRACKTES MY ÷÷×× THANK YOU ARE ON FIRE;Negative
,Good app;Positive
,Doesn't seem to allow a child to learn in sets and wasn't able to find settings to provide a little more time.;Negative
,I think that this game helps me sooo much with all of my facts and it so fun it's a funner way to learn all of your facts it helps me and it will nicely help you to it also helps me so much with my flash cards;Positive
,it is fun.;Positive
,Thanks for this app;Positive
,No;Negative
,A beautiful game that having math also .I like this game;Positive
,I love it;Positive
,Too many ads.;Negative
,I have not played it yet, but I think its gonna be a good game.;Positive
,My son likes it!;Positive
,It's not so good.;Negative
,Nice aap;Positive
,I think this app is the best;Positive
Why don't you make game for each multiplication number;Neutral
,I think it is good for kids;Positive
,It is;Positive
,I'm just an 8 ur old boy who liked to learn;Neutral
,This is cool;Positive
,Good;Positive
,It's great it helped me get into 6th grade;Positive
,i love this game;Positive
,This app is pretty good;Positive
,I love it I only own my 1 times and 2;Positive
,Nothing more Grace;Positive
,As soon as I downloaded it the app stopped;Negative
,I like but It kind of tells you the answers at the beginning but you could tell the answers at the end so when they get some wrong they could study;Negative
,It's great the kids love it tjet Actually think it's FUN! O.O;Positive
,It is the best math game ever;Positive
,Helped my child;Positive
,Amazballs;Neutral
,Hero;Negative
,It is it is very;Neutral
,Inappropriate adds. My 10 yo doesn't need to see women in rhinestone bikinis.;Negative
,How will i learn if it just puts random numbers;Neutral
,It sucks!;Negative
,It's awesome when I'm doing multiplication who ever made this I love it you welcome bye;Positive
,I have to study;Negative
,Good;Positive
,Very usefull for child;Positive
,It's good;Positive
,It certainly gives your brain a workout.;Positive
,I love it so much;Positive
,I don't know what people are saying I have not seen any innappropriate adds (yet) but it helps!!!!!!!;Positive
,I love it;Positive
,Love it so so so much!;Positive
,It is good;Positive
,Useful;Positive
,Cool stuff;Positive
,Hate it so much the apps are in my way i gave ot one star if the apps were not in my way i would give them 2i still hate this math games when i press the right answer it says that i am wrong i hate this app so much i am going to delete it ahaa stress;Negative
,It is cool;Positive
,HI love it;Positive
,I love math;Positive
,Good for child;Positive
,Way too many ads!;Negative
,I wanted to do mix and i wanted topick my time;Neutral
,It is easy i thought it was hard;Positive
