Very excellent game but not educational;Positive
,Cool! Very cool!;Positive
,outstanding;Positive
,duchy only turn FM he FM BC GH BC dB CD VB f egg dB Titans Go Cuvier's;Neutral
,Good game;Positive
,Ok no problem thank you;Positive
,I like it but so boring;Negative
,yet but I don't want to;Negative
,this game helps my nieces learn!!;Positive
,super games inside;Positive
,tomorra pollard say like this game;Neutral
,stupit;Negative
,the most best game;Positive
,karmveer Singh yadav;Neutral
,It's really nice game,actually there is problem that is witch games are unlocked are not opening;Positive
,I like it very much!;Positive
,I liked;Positive
,This is a best game;Positive
,Good;Positive
,I love this game;Positive
,Ok but why all levels are not open;Neutral
,Good learning;Positive
,It so fun I will like it ever day since I was a kid;Positive
,It is very good game for kids. I liked it game. Thank you.;Positive
,Because some parts of the game is not working properly they are asking for money....;Negative
,Some puzzles have no intructions, frustrating;Negative
,Not easy and funny;Positive
,Wonder full;Positive
,Great;Positive
,It was very nice game for kid;Positive
,Gud for children;Positive
,My kids like to play with this... Can all the games be unlock?;Neutral
,Must hai yar;Negative
,It's the world's best game ever;Positive
,Its fun for kids;Positive
,I love this game so;Positive
,Will help my kids;Neutral
,Pretty nics i recommend;Positive
,Love & Happy;Positive
,Doood !good game but all parts are not open;Neutral
,It's a very fun game I remembered it since I wwas just a little girl SO I thought its was really fun to play;Positive
,Well game;Positive
,wana good;Positive
,like it;Positive
,I love you all Abba very;Positive
,Nice;Positive
,Make it easy for a few days and I have a couple of other things I would like you to provide me with your resume for the year to make it easy and you are a very good guy with great results for your company;Positive
,This game is awesome hahhah;Positive
,better then id expect;Positive
,Cool;Positive
,Sema;Neutral
,It's fun for my sister;Positive
,Good for kids;Positive
,Many games are unlocked and too many ads Did not got what was expected ,suchA time Wasting game....;Negative
,Too many ads that don't let you skip them;Negative
,jIt is good;Positive
,Not much instructions;Neutral
,Like it;Positive
,In it I want to unlock another games but it doesn't unlock. When I try to remove adds but it doesn't remove. However I get rid from this.;Negative
,I loved itttttttttttttttttttttttttttttttttttttttt!;Positive
,GOOD;Positive
,Seems good so far..;Positive
,Pop;Negative
this app is helpingsister;Negative
,It's perfect for testing the level of minds of kids;Positive
,Enjoying it with my kids;Positive
,Its very educational;Positive
,Love this gameI have try it for my children it is so help full for childrenSo fun to play;Positive
,I loved it so much because of the levels;Positive
,It is awesome it helps my child learn and she loves it to;Positive
,I think the game is nice and exciting but it needs more activitiesto boost it;Positive
,A very worst game in the world;Negative
,If is very interested game but I would to install it but WiFi problem is there;Positive
,Like it;Positive
,Lookingforward;Neutral
,Amazing game;Positive
,This game has a lot of ads! My kid keeps pushing them as there isn't an exit button once the ad starts!;Negative
,My baby sister is going to love this;Positive
,Ha ha ha ha ha ha ha;Positive
,This game is amaxzing. My child is learning to do lots of thing.;Positive
,i lo ve itvis so fun for mi sister;Positive
,Every time I try to get into the other games it keep saying to remove the ads, when I try to remove the ads the games remains locks. It have nice games ad my two year old likes it a lot;Negative
this is frustrating for him and myself, please tell me how to get rid of the ads;Negative
,good;Positive
,writeashor;Neutral
,Awsome;Positive
,This is good games;Positive
,Nice apps baby;Positive
,Very fun and educational!;Positive
,Nice;Positive
,Its good though... All of it.. downloading the app was worth it;Positive
,Very nice game;Positive
,Nice;Positive
,Merged RC;Neutral
,I love the idea of the pizza game! I love it!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!;Positive
,Nice game for kids;Positive
,education;Positive
,I love;Positive
,Excellent for children to teach new things;Positive
,It's ok;Neutral
