excellent app for kids's learning n gaining extra knowledge;Positive
,don't play this this is very bad game;Negative
,good for kids learning.;Positive
,good;Positive
,fun learning;Positive
,nice;Positive
,hard;Positive
,looking for educational purposes and this has games that are not purely educational.;Positive
,it is the best game for presc kids as i searched along all games this far. please add feature for reading, ex. like creating word by letters. thanks it's so helpful amyway;Positive
,I love education games;Positive
,good;Positive
,l like;Positive
,I love it when I get to know it and it makes me feel better about it all funny things like that and I don't want to be scary anymore because I don't want you to feel like you have to be;Positive
able to 1 it with me that his name was not the same as I was ⚄ you for the fact that you had a good lot of money for the ⚄ of you and I was not even sure if you knew what I wanted to know about you ⚄ 5 ⚄ you said that;Neutral
,NICE;Positive
,my toddler loves it;Positive
,MY 7 YEARS OLD NIECE LOVES THIS GAME;Positive
,my 4 year kid loves it. truly educational to develop their skills;Positive
,not bad;Positive
,I love this game;Positive
,goog;Negative
,they should have put more choices for playing.;Positive
,;Neutral
,so cool and supeb game;Positive
,it is the best game for kids;Positive
,some games are very nice and fit to my little baby. she love to play;Positive
,good game;Positive
,Looking for a game for my 2 year old daughter. She will not be able to stay on the game kept throwing me off;Negative
,I can rate 5 Star but Gave 1 Star because of Ads they are very annoying.. How can you expect kids to read ads;Negative
,M;Neutral
,Very nice mama miya;Positive
,It's really Good;Positive
,Vasu verma pari verma;Neutral
,i just can't removed it in my phone apps .. cause i simply loved it;Negative
,Mostly outdated graphics and simple games, but still keeps toddlers and preschoolers interested. Also I like options for wide range of languages for practice.;Positive
,My sister thought it was boring.dont get this game;Negative
,Nothing;Negative
,TAKE it awayFrom me;Neutral
,its good for kids;Positive
,Good;Positive
,Very interesting for kids;Positive
,Best game;Positive
,My grandchild just love to play this games;Positive
,Good for kids;Positive
,The game and learning tool is okay but there is a big problem with the ads. these are little kids that play this game they do not know how to read and the Yelp app expect you to read to;Negative
install it or not install it period Frozen more my three year old will not know how to read them and he could hit install and it's going to install it. got to get rid of that it's ridiculous if it's going to be for a little kid how to make it age appropriate ads.;Negative
,This is not downloading;Negative
,Love it;Positive
,Like it;Positive
,Nice;Positive
,Happy new year and the last week to the new year and then I am so going to the see the new year York NY and the new way I have can you can;Neutral
,V.......good.;Positive
,Is fantastic;Positive
,Its too good.;Positive
,Kid themed porn advertising is not what I want to see as advertising. Deleting app asap;Negative
,Nice game for kids;Positive
,Way to many ads kids cant play it properly dont like it;Negative
,Love it;Positive
,Good;Positive
,Genius!;Positive
,My little sister love to play this;Positive
,Para las ninios;Positive
,Although there is an unnecessary onslaught of ABC mouse commercials and others my three-year-old almost downloaded, it's a really great app and she loves it.;Positive
,Interesting for kids activity;Neutral
,Very fun my kids I babysit is going to be so happy;Positive
,school;Negative
,Lovely;Positive
,My grandkids are going too love this app, I even love playing,there's lots of activities to play;Positive
,Really nice and beautiful kids game;Positive
,Its nice..;Positive
,Nice;Positive
,Very nice! A lot of games!;Positive
,غ4443;Neutral
,Idk;Positive
,श्री हरि दया;Neutral
,Good;Positive
,Splendid!;Positive
,Excellent;Positive
,Good for modern kids;Neutral
,Great collections;Positive
,Not;Neutral
,Gret;Positive
,I love this app.!;Positive
,I this app;Neutral
,Love it;Positive
,loved my child Any other game tell me;Neutral
,It's Excellent;Positive
,thanks;Positive
,Its a great game for the kids with lots of options;Positive
,This was educated I thought it was for fun.;Positive
,3 year old Likes it;Positive
,Muito interessante;Positive
,Not all numbers are visible on the screen which means my son cannot complete the puzzle. Frustrating for a child.;Negative
,Some are a little difficult for my 2 year old,but it is a great free app with lots of choices of activities in the free version.;Positive
,Good for learning, but some translations are a little off.;Positive
,It is my first evaluation in the app store , this game with the another version are very beautiful . Really I enjoyed it;Positive
,Very good apps;Positive
,Very good for pre-school children;Positive
,Soooo good apps my grandchildren loves it... thank you;Positive
,Very good for kids;Positive
