thinking of unlocking full version no ads if available.;neutral
My 3 year old loves this.It is really helping her get ready for school.;positive
Excellent;positive
I love it.;positive
I suggest to add another words play inside the game like pop-up words whentouch it blast and continues like thatbecause childs really like it that way;positive
like at the beginning of the game after selecting the word;neutral
the wordswill shows up pop-up and if touch it will blast so they like itand they are not happy if it stop pop in/pop-up;Negative
We love it!;Positive
Good;Positive
Very good;Positive
very good app;Positive
Really nice app... My son love this a lot.;Positive
So delightful!;Positive
good;Positive
My 2 year old enjoy playing this game.. Will be purchasing the full version. The downside is no lower case but it's not a major thing.;Positive
My four year old son loves to play this game and I love that it teaches him through fun and entertaining games making it a great way to learn.;Positive
Good for kids;Positive
Its fun and makes you feel like your playing more then game;Positive
Great way of learning ABC;Positive
my 4 year old loves it;Positive
This app is amazing and it helps my little brother;Positive
My son so that he can learn;Neutral
Good apps for kids;Positive
After the first play my child was able go identify letters and actually remember them;Positive
we love and recommend this app.;Positive
Very educative... my kids love it;Positive
This is a amazing app for children;Positive
you will not be disappointed;Positive
I highly recommend it;Positive
Superb;Positive
We love this app. it keeps my children busy for 30 minutes or more. The games are self correcting which my children believe it is all gol;Positive
Very nice alphabet app. I think my son might learn something with this one while having fun.;Positive
U did great..my son learned a lot from here..thank u..Godbless;Positive
Awesome game for toddlers to learn letters in a fun exciting way;Positive
we love it;Positive
Nice one for kids.......;Positive
good app;Positive
Is fun and is very good learning tool.;Positive
My son loves it!;Positive
Awesome will keep young children entertain all while they're learning;Positive
I love game;Positive
Great app;Positive
Loved it;Positive
Great game my 5 year old can play by herself! It's free & she's learning while having fun!;Positive
Kids love it. Nice music in the background. They know there letters better. All around good app for kids 5 & under in my opinion.;Positive
Intresting way of introducing different alphabets with games and how each gets joined to form words.. We identify specific alphabet among different ones draw it;Positive
make words and all the time listen to the alphabets as well. Fun for adults as well;Positive
4 year old loves this! Looks like I will be buying it in the future.;Positive
My grand baby loves to play. Its a really good learning tool;Positive
my baby is learning every day;Positive
My 2 yr old absolutely loves this app! I love that he already knows his letters AND can recognize words and tell you what they say!!;Positive
Very good;Positive
fun and educational;Positive
My daughter loves this game. I find the graphics and sound outstanding.she's just 3.5 and really knows her letters much thanks to this game.;Positive
Very good;Positive
I wish I could get few more access in the free version;Positive
Error while buying game with debit card.. please help.. my daughter loved it a lot;Positive
nice thanks baby love it;Positive
very good app my son is 6 years with learning problems and he loves it. it is really well done.you must try it.;Positive
"Great for kids;";Positive
"I love it;";Positive
"I like this app because it has so much for kids to do and learn;";Positive
So funny for 4 year old;positive
My kid loved it!;positive
Please let the game install faster;neutral
Nice repetition of sounds.;neutral
Best app I've found for my boy who has finished 3yo kinder and is learning his letters. This app has a variety of short and achievable activities that keeps him engaged for a while. Nice work!;positive
Keep kids busy while learning..;neutral
Very good games to play With kids;positive
Excellent;positive
It is good;positive
Awesome;positive
Amaizing my 1 year old liveeeeees the App;negative
It keeps my baby entertained;positive
Nice;neutral
My kids really enjoy it;positive
It is lovely;positive
Grandaughter likes it.;positive
im hoping that its an offline thanks.;positive
Loved it;positive
Super duper like.;positive
Great game;positive
Very educational;neutral
fun and an easy way to teach a preschool;positive
nice;neutral
Its very good;positive
Great game for children;positive
awesum app;neutral
my little girl enjoys the activities very much;neutral
This app is great and my kids like to play it for hours. Can you please make it available in lower case.;positive
Beautiful app;positive
excellent;positive
Excellent;positive
is really good;positive
I bought this apps for my 3 yrs old apo;neutral
Fun way to learn the alphabet. It helps to develop fine motor skills also.;positive
Think good;neutral
is fun;positive
Fun fun for a kid;positive
It is fun my son enjoys it;positive
My son loves this app;positive
Awesome;positive
Its great;positive
We both love it;positive
Nice game;neutral
Iloves this app fot may baby;positive
Good for kids;positive
Nice;neutral
